N° Enr.;NomETS;RegionETS
254;AVENIR REEL-BACONGO;BRAZZAVILLE
255;AVENIR REEL-KOMBE;BRAZZAVILLE
256;AVVARA SCHOOL 1;POINTE-NOIRE
257;AWARA SCHOOL 2;POINTE-NOIRE
258;Aba-Okelo;CUVETTE
259;Aba-Okelo;CUVETTE CENTRALE
260;Abah (Allémbé);PLATEAUX
261;Abala-Ndolo;PLATEAUX
262;Abana;CUVETTE OUEST
263;Abba;PLATEAUX
264;Abeké ;CUVETTE OUEST
265;Abele ;LEKOUMOU
266;Abili;PLATEAUX
267;Abomadzouala;CUVETTE OUEST
268;Abomadzouola;CUVETTE OUEST
269;Aboua;CUVETTE
270;Aboua;CUVETTE CENTRALE
271;Abrham NYELLELE;NIARI
272;Abéla;CUVETTE
273;Abéla;CUVETTE CENTRALE
274;Adzié;CUVETTE OUEST
275;Agnus Dei;LEKOUMOU
276;Agâpé;LEKOUMOU
277;Akabi;PLATEAUX
278;Akana;PLATEAUX
279;Akana ;CUVETTE OUEST
280;Akana-Lagué;PLATEAUX
281;Akiélé (Ollombo 1);PLATEAUX
282;Akiélé (Ollombo 2);PLATEAUX
283;Akou ;CUVETTE OUEST
284;Akou (Abala);PLATEAUX
285;Akou (Lekana);PLATEAUX
286;Akoui;PLATEAUX
287;Akoussika;PLATEAUX
288;Albert Ikogne;KOUILOU
289;Albert Ikogne;PLATEAUX
290;Albert Ikogne;SANGHA
291;Albert Ikongue;KOUILOU
292;Albert Nkou;PLATEAUX
293;Alexandre Mavoungou;NIARI
294;Allebou ;CUVETTE
295;Allemé;CUVETTE OUEST
296;Allien;PLATEAUX
297;Allion;PLATEAUX
298;Allémbé;PLATEAUX
299;Alpha Omega ;NIARI
300;Alphonse Ibara D'Abo;CUVETTE
301;Alphonse Ibara D'Abo;CUVETTE CENTRALE
302;Alphonse MBONDO (Thanry);LIKOUALA
303;Ambombongo;PLATEAUX
304;Ambomi;CUVETTE OUEST
305;Amina;CUVETTE OUEST
306;Ampaka;PLATEAUX
307;Andzion;PLATEAUX
308;Angama;PLATEAUX
309;Angoulou;PLATEAUX
310;Angounou A;PLATEAUX
311;Angounou B;PLATEAUX
312;Anguiémé;PLATEAUX
313;Antoine MILANDOU 1;SANGHA
314;Antoine MILANDOU 2;SANGHA
315;Antoine Ngatsé;CUVETTE
316;Antoine Ngatsé;CUVETTE CENTRALE
317;Antoinette Sassou Nguesso;BOUENZA
318;Apengué;CUVETTE OUEST
319;Application;CUVETTE
320;Application;CUVETTE CENTRALE
321;Assali ;CUVETTE OUEST
322;Assambo ;CUVETTE OUEST
323;Assengué;PLATEAUX
324;Assigui ;CUVETTE OUEST
325;Atekou;CUVETTE
326;Avenir;PLATEAUX
327;Aviation;NIARI
328;Avoura ;CUVETTE OUEST
329;Ayama;PLATEAUX
330;Ayandza;CUVETTE OUEST
331;Ayina ;CUVETTE OUEST
332;B. MAMBEKE BOUCHER 1;SANGHA
333;B. MAMBEKE BOUCHER 2;SANGHA
334;B. PERFECTION SCHOOL;BRAZZAVILLE
335;B. Winner School;POINTE-NOIRE
336;B.M BANIAKINA;BRAZZAVILLE
337;B.M DE LA PASSION;BRAZZAVILLE
338;B.M. LA CYNTE MERE;BRAZZAVILLE
339;B.S.K;NIARI
340;BAB DE LAUNE 2;BRAZZAVILLE
341;BAB DE LAUNE-2;BRAZZAVILLE
342;BABY SITTERS;POINTE-NOIRE
343;BAD;SANGHA
344;BAD DE LAUNE 1;BRAZZAVILLE
345;BADI SCHOOL;POINTE-NOIRE
346;BAKOUMA;POOL
347;"BALOU CONSTANT ""A""";POINTE-NOIRE
348;"BALOU CONSTANT ""B""";POINTE-NOIRE
349;BALOU SCHOOL;POINTE-NOIRE
350;BAMBINA BAMBINO;BRAZZAVILLE
351;BANDOUNI-SCHOOL;POINTE-NOIRE
352;BANGA CAYO;POINTE-NOIRE
353;BATAILLON;BRAZZAVILLE
354;BAZOYA SCHOOL;KOUILOU
355;BAZOYA SCHOOL;SANGHA
